"file","verdict","approved_for_model_use","rows","start_utc","end_utc","duplicate_timestamps","ohlc_issue_count","tick_issue_count","interval_mode_seconds","intraday_reference_status","intraday_exact_rows","intraday_max_abs_ohlc_diff","intraday_close_delta_corr","daily_reference_status","daily_exact_rows","daily_max_abs_ohlc_diff","daily_close_delta_corr"
"NQ_in_1_hour.csv","do_not_use_yet","False","10504","2024-01-01 23:00:00","2025-10-10 15:00:00","0","0","0","3600.0","mismatch","7300/9981","498.25","0.9818746219752372","mismatch","1/448","1171.75","0.8196302551333524"
"NQ_in_15_minute.csv","do_not_use_yet","False","6739","2025-06-30 22:00:00","2025-10-10 15:15:00","0","0","0","900.0","mismatch","1224/1623","310.0","0.9440659908269918","mismatch","1/73","822.25","0.8063292351183541"
"NQ_in_2_hour.csv","do_not_use_yet","False","5479","2024-01-01 23:00:00","2025-10-10 14:00:00","0","0","0","7200.0","not_run","",,,"mismatch","1/448","1171.75","0.8411451788063684"
"NQ_in_3_hour.csv","do_not_use_yet","False","5712","2023-01-02 23:00:00","2025-10-10 13:00:00","0","0","0","10800.0","not_run","",,,"mismatch","1/699","868.25","0.8907510648012242"
"NQ_in_3_minute.csv","do_not_use_yet","False","6786","2025-09-21 22:00:00","2025-10-10 15:15:00","0","0","0","180.0","mismatch","277/330","310.0","0.9548992617882833","mismatch","0/15","822.25","0.6718780598453689"
"NQ_in_30_minute.csv","do_not_use_yet","False","9165","2025-01-01 23:00:00","2025-10-10 15:00:00","0","0","0","1800.0","mismatch","3168/4464","310.0","0.9853281384342386","mismatch","1/196","867.25","0.842701709568645"
"NQ_in_4_hour.csv","do_not_use_yet","False","5817","2022-01-02 23:00:00","2025-10-10 14:00:00","0","0","0","14400.0","not_run","",,,"mismatch","1/950","1171.75","0.825792949208439"
"NQ_in_45_minute.csv","do_not_use_yet","False","6179","2025-01-01 23:00:00","2025-10-10 15:15:00","0","0","0","2700.0","mismatch","20/4464","1205.75","0.7022192497062602","mismatch","1/196","867.25","0.8661896344277935"
"NQ_in_5_minute.csv","do_not_use_yet","False","5452","2025-09-14 22:00:00","2025-10-10 15:15:00","0","0","0","300.0","mismatch","343/445","310.0","0.8164897579049523","mismatch","0/20","822.25","0.6739153014902468"
"NQ_in_daily.csv","do_not_use_yet","False","6648","1999-06-29 22:00:00","2025-10-09 22:00:00","0","0","12","86400.0","not_run","",,,"mismatch","2135/2288","822.25","0.977364872898065"
"NQ_in_monthly.csv","do_not_use_yet","False","317","1999-05-31 22:00:00","2025-09-30 22:00:00","0","0","0","2678400.0","not_run","",,,"mismatch","0/104","2801.25","0.06288405921391646"
"NQ_in_weekly.csv","do_not_use_yet","False","1372","1999-06-27 22:00:00","2025-10-05 22:00:00","0","0","5","604800.0","not_run","",,,"mismatch","0/439","1900.5","0.19816393571324248"
